@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
80,'2025/11/18 22:34:01:199',1,0.257597,0.573344,0.000001,0.358848,0.814192,-0.074078,0.287758,0.954321,-0.081924,0.271795,0.96449,-0.055106,0.268367,0.949816,-0.030533,0.265784,0.915877,-0.011231,1,0,0
81,'2025/11/18 22:34:01:261',1,0.279666,0.573685,0,0.373787,0.809409,-0.071581,0.29912,0.953417,-0.095368,0.291962,0.95698,-0.059282,0.285487,0.941982,-0.033002,0.283228,0.900629,-0.01145,1,0,0
82,'2025/11/18 22:34:01:353',1,0.296525,0.581929,0,0.395752,0.81383,-0.070476,0.322299,0.961375,-0.095108,0.310874,0.9646,-0.059961,0.304786,0.9506,-0.032691,0.298615,0.918376,-0.013207,1,0,0
83,'2025/11/18 22:34:01:415',1,0.3312,0.5798,0.000001,0.415578,0.813311,-0.077556,0.336319,0.958742,-0.102521,0.331157,0.957011,-0.059246,0.327751,0.939064,-0.031584,0.33124,0.892904,-0.008112,1,0,0
84,'2025/11/18 22:34:01:507',1,0.355421,0.572674,0,0.442424,0.808324,-0.06353,0.36165,0.948973,-0.085542,0.354255,0.952598,-0.069722,0.348094,0.937278,-0.056122,0.361792,0.868115,-0.034843,1,0,0
85,'2025/11/18 22:34:01:570',1,0.388895,0.565915,0.000001,0.463844,0.796307,-0.051194,0.37717,0.942587,-0.083913,0.384197,0.953028,-0.087861,0.396181,0.92656,-0.095618,0.470458,0.812958,-0.085958,1,0,0
86,'2025/11/18 22:34:01:724',1,0.443129,0.569568,0.000001,0.532592,0.8108,-0.061579,0.453251,0.947794,-0.080603,0.443003,0.952863,-0.067658,0.436544,0.93571,-0.054069,0.438725,0.861454,-0.035796,1,0,0
87,'2025/11/18 22:34:01:815',1,0.496649,0.582025,0.000001,0.603473,0.819784,-0.071189,0.519956,0.964999,-0.092667,0.496071,0.966286,-0.060737,0.479343,0.943629,-0.032416,0.451,0.900947,-0.011754,1,0,0
88,'2025/11/18 22:34:01:911',1,0.545062,0.598314,0.000001,0.641195,0.83484,-0.07506,0.562052,0.981272,-0.096505,0.539922,1.011224,-0.074268,0.528745,0.979397,-0.049872,0.518787,0.927011,-0.027599,1,0,0
89,'2025/11/18 22:34:01:971',1,0.570131,0.595657,0,0.664435,0.841306,-0.05346,0.587096,0.978925,-0.062879,0.571569,0.972655,-0.041472,0.558128,0.952509,-0.020029,0.547783,0.910396,0.000089,1,0,0
90,'2025/11/18 22:34:02:038',1,0.591014,0.607551,0.000001,0.691822,0.854032,-0.047318,0.613789,0.997187,-0.053504,0.597546,0.989982,-0.029643,0.584681,0.963323,-0.007535,0.56889,0.925245,0.009128,1,0,0
91,'2025/11/18 22:34:02:108',1,0.620033,0.618999,0.000001,0.719519,0.868642,-0.065327,0.644134,1.026021,-0.068418,0.627738,1.015103,-0.04,0.611816,0.987278,-0.014712,0.598053,0.943502,0.002838,1,0,0
92,'2025/11/18 22:34:02:200',1,0.643756,0.621891,0.000001,0.74555,0.874763,-0.076273,0.668728,1.033507,-0.082122,0.650427,1.014173,-0.049281,0.637731,0.980825,-0.020225,0.623472,0.932998,-0.000632,1,0,0
93,'2025/11/18 22:34:02:257',1,0.678689,0.617385,0.000001,0.782798,0.866037,-0.084639,0.702113,1.020014,-0.082118,0.687237,1.002108,-0.047934,0.676497,0.975549,-0.018839,0.673461,0.933689,0.002819,1,0,0
94,'2025/11/18 22:34:02:329',1,0.690738,0.608612,0.000001,0.797207,0.869378,-0.077184,0.717752,1.006078,-0.065082,0.700723,0.992045,-0.035014,0.687354,0.968691,-0.00659,0.677884,0.935183,0.013226,1,0,0
95,'2025/11/18 22:34:02:388',1,0.702814,0.590614,0.000001,0.811956,0.850793,-0.07067,0.728412,0.979317,-0.056506,0.710542,0.971298,-0.028159,0.698017,0.947728,-0.003274,0.6857,0.91619,0.016562,1,0,0
96,'2025/11/18 22:34:02:446',1,0.716472,0.577865,0.000001,0.827249,0.840266,-0.070529,0.747178,0.971617,-0.057814,0.727859,0.963151,-0.029744,0.714913,0.942532,-0.006664,0.704375,0.904978,0.013041,1,0,0
97,'2025/11/18 22:34:02:518',1,0.727285,0.564571,0.000001,0.840945,0.827505,-0.073973,0.760958,0.964596,-0.065675,0.743737,0.963296,-0.038612,0.734614,0.941289,-0.013849,0.726085,0.903444,0.00563,1,0,0
98,'2025/11/18 22:34:02:580',1,0.740252,0.546012,0.000001,0.851626,0.815557,-0.064203,0.77283,0.948981,-0.060768,0.750575,0.957372,-0.037598,0.737902,0.928218,-0.01754,0.725759,0.885435,0.000457,1,0,0
99,'2025/11/18 22:34:02:645',1,0.753847,0.519017,0.000001,0.857001,0.794195,-0.068349,0.780175,0.927446,-0.058839,0.757545,0.937619,-0.038698,0.740872,0.906189,-0.018962,0.72997,0.863747,-0.000791,1,0,0
100,'2025/11/18 22:34:02:730',1,0.757327,0.490853,0.000001,0.85785,0.769096,-0.072417,0.782606,0.906194,-0.065837,0.762074,0.91921,-0.043239,0.745627,0.883862,-0.02017,0.730616,0.836128,-0.001978,1,0,0
101,'2025/11/18 22:34:02:790',1,0.757645,0.450285,0.000001,0.857929,0.725721,-0.068622,0.78581,0.875154,-0.076157,0.765211,0.893833,-0.058481,0.749355,0.863824,-0.035674,0.733961,0.815306,-0.018127,1,0,0
102,'2025/11/18 22:34:02:851',1,0.762402,0.406563,0.000001,0.859251,0.688004,-0.06701,0.780565,0.837136,-0.075899,0.763162,0.852011,-0.056607,0.748682,0.821091,-0.033362,0.73522,0.774915,-0.015411,1,0,0
103,'2025/11/18 22:34:02:912',1,0.762155,0.363354,0.000001,0.863817,0.652371,-0.067907,0.782154,0.802841,-0.077619,0.761902,0.815132,-0.05836,0.748527,0.78458,-0.035531,0.738757,0.738106,-0.018014,1,0,0
104,'2025/11/18 22:34:02:980',1,0.767325,0.316417,0.000001,0.867965,0.599898,-0.060171,0.782785,0.760786,-0.073271,0.766765,0.77036,-0.055594,0.752587,0.740538,-0.032269,0.739255,0.693495,-0.014917,1,0,0
